month,score,sentimento
2015-01,0.9782551467418671,Neutral
2015-02,0.9937245905399322,Neutral
2015-03,0.9473498284816741,Neutral
2015-04,0.9998877048492432,Neutral
2015-05,0.999075448513031,Neutral
2015-06,0.9586625337600708,Neutral
2015-07,0.9780370891094208,Neutral
2015-08,0.9934870839118958,Neutral
2015-09,0.9397152841091156,Neutral
2015-10,0.9677223324775696,Neutral
2015-11,0.9987113833427429,Neutral
2015-12,0.9997386991977691,Neutral
2016-01,0.9844711184501648,Neutral
2016-02,0.9373512983322143,Neutral
2016-03,0.9755072116851806,Neutral
2016-04,0.9972818553447723,Neutral
2016-05,0.9329262375831604,Neutral
2016-06,0.9514573156833649,Neutral
2016-07,0.9983295440673828,Neutral
2016-08,0.9438535749912262,Neutral
2016-09,0.9880431413650512,Neutral
2016-10,0.9989512145519257,Neutral
2016-11,0.9623163282871247,Neutral
2016-12,0.9952449440956116,Neutral
2017-01,0.9442672729492188,Neutral
2017-02,0.9829918503761291,Neutral
2017-03,0.9958762168884278,Neutral
2017-04,0.9616355061531067,Neutral
2017-05,0.8775944530963897,Neutral
2017-06,0.9961485445499421,Neutral
2017-07,0.9689118444919587,Neutral
2017-08,0.9658582746982575,Neutral
2017-09,0.9994214534759521,Neutral
2017-10,0.9752903044223785,Neutral
2017-11,0.9877377986907959,Neutral
2017-12,0.9992977201938629,Neutral
2018-01,0.9997913181781769,Neutral
2018-02,0.9927603840827942,Neutral
2018-03,0.9964215815067291,Neutral
2018-04,0.9928316295146942,Neutral
2018-05,0.9915501117706299,Neutral
2018-06,0.9844779372215271,Neutral
2018-07,0.9900368452072144,Neutral
2018-08,0.998526418209076,Neutral
2018-09,0.9965441644191741,Neutral
2018-10,0.9940345525741577,Neutral
2018-11,0.9991445422172547,Neutral
2018-12,0.9995662331581116,Neutral
2019-01,0.9333392143249511,Neutral
2019-02,0.9928993821144104,Neutral
2019-03,0.9699696481227875,Neutral
2019-04,0.9827266275882721,Neutral
2019-05,0.9915459513664245,Neutral
2019-06,0.9495204508304596,Neutral
2019-07,0.9940600872039795,Neutral
2019-08,0.9985373318195343,Neutral
2019-09,0.9997243583202362,Neutral
2019-10,0.9919900059700012,Neutral
2019-11,0.9489064514636993,Neutral
2019-12,0.9991360664367676,Neutral
2020-01,0.9445946991443634,Neutral
2020-02,0.965413224697113,Neutral
2020-03,0.978107500076294,Neutral
2020-04,0.9221814930438995,Neutral
2020-05,0.998902553319931,Neutral
2020-06,0.9553553879261016,Neutral
2020-07,0.9883048832416534,Neutral
2020-08,0.9909287035465241,Neutral
2020-09,0.9482161998748779,Neutral
2020-10,0.9996685326099396,Neutral
2020-11,0.9540093064308166,Neutral
2020-12,0.9973952054977417,Neutral
2021-01,0.9876366913318634,Neutral
2021-02,0.9997753500938416,Neutral
2021-03,0.9863342821598053,Neutral
2021-04,0.993841964006424,Neutral
2021-05,0.9907250583171845,Neutral
2021-06,0.9991418719291687,Neutral
2021-07,0.9772563695907592,Neutral
2021-08,0.9674598038196563,Neutral
2021-09,0.9998099386692048,Neutral
2021-10,0.9776083946228027,Neutral
2021-11,0.9931304156780243,Neutral
2021-12,0.9997862875461578,Neutral
