year_month,avg_score
2015-01,0.9346750438213348
2015-02,0.9658492624759674
2015-03,0.999900895357132
2015-04,0.9855424106121063
2015-05,0.9988321006298065
2015-06,0.9789563238620758
2015-07,0.9792823195457458
2015-08,0.9745071768760681
2015-09,0.9746093809604645
2015-10,0.9338112056255341
2015-11,0.9023920118808746
2015-12,0.9570278346538543
2016-01,0.9652811646461487
2016-02,0.9614281415939331
2016-03,0.9386050641536713
2016-04,0.980952137708664
2016-05,0.9464376091957092
2016-06,0.9592561185359955
2016-07,0.9048908650875092
2016-08,0.9179193437099457
2016-09,0.9573334157466888
2016-10,0.9990940272808075
2016-11,0.942045944929123
2016-12,0.9769541442394256
2017-01,0.9412524998188019
2017-02,0.8655270755290985
2017-03,0.9264900088310242
2017-04,0.9151483565568924
2017-05,0.927861088514328
2017-06,0.9429056346416473
2017-07,0.9342579364776611
2017-08,0.9568044662475585
2017-09,0.9022053837776184
2017-10,0.9645491302013397
2017-11,0.954185301065445
2017-12,0.9359936475753784
2018-01,0.9324065446853638
2018-02,0.9289652943611145
2018-03,0.9268467247486114
2018-04,0.8677195250988007
2018-05,0.9951265931129456
2018-06,0.9166943490505218
2018-07,0.9247593522071839
2018-08,0.9478102147579193
2018-09,0.9761138379573822
2018-10,0.9803153038024902
2018-11,0.828025609254837
2018-12,0.9853220343589782
2019-01,0.9604946136474609
2019-02,0.9556121528148651
2019-03,0.9195477306842804
2019-04,0.9509401798248291
2019-05,0.9942978084087372
2019-06,0.9306521207094193
2019-07,0.974232816696167
2019-08,0.9702169060707092
2019-09,0.9737033128738404
2019-10,0.9704977154731751
2019-11,0.9816792368888855
2019-12,0.9903118371963501
2020-01,0.9684918522834778
2020-02,0.9121378242969513
2020-03,0.980143940448761
2020-04,0.9600194275379181
2020-05,0.9305399537086487
2020-06,0.9559701263904572
2020-07,0.9946959912776947
2020-08,0.9776394367218018
2020-09,0.9675688564777374
2020-10,0.9373557329177856
2020-11,0.9954701602458954
2020-12,0.8733239889144897
2021-01,0.9838023483753204
2021-02,0.9629426956176758
2021-03,0.8973969995975495
2021-04,0.9584759116172791
2021-05,0.9547833144664765
2021-06,0.8362243413925171
2021-07,0.9920600831508637
2021-08,0.9606769323348999
2021-09,0.9511736512184144
2021-10,0.9462053120136261
2021-11,0.9721325993537903
2021-12,0.9348721146583557
